entry,category,Run,Subrun,Evt
352,0.0,2106,55,78
353,1.0,2108,91,10
354,0.0,1600,77,21
355,0.0,2204,30,64
356,1.0,2103,29,24
357,4.0,3002,79,46
358,0.0,1602,85,30
359,0.0,2406,60,37
360,0.0,1602,42,80
361,0.0,1603,75,52
362,0.0,1603,25,28
363,0.0,1408,61,21
364,0.0,2400,5,36
365,3.0,2403,32,39
366,0.0,1407,26,11
367,0.0,2405,66,10
368,0.0,2405,66,34
369,0.0,2108,95,12
370,3.0,1601,85,78
371,4.0,1606,70,49
372,3.0,1601,97,72
373,3.0,2401,99,2
374,0.0,2403,56,16
375,0.0,2402,69,17
376,4.0,7000,86,37
377,0.0,7000,86,55
378,0.0,2209,31,43
379,4.0,2407,11,28
380,0.0,7000,20,41
381,0.0,2400,45,32
382,0.0,1200,20,6
383,3.0,2204,68,63
384,0.0,2208,77,54
385,0.0,2202,93,42
386,0.0,1709,22,49
387,4.0,1403,48,2
388,3.0,3004,2,11
389,0.0,2400,24,29
390,0.0,3007,21,7
391,0.0,3008,28,6
392,4.0,1404,23,73
393,0.0,3002,48,10
394,4.0,1202,56,68
395,0.0,2103,98,25
396,0.0,2402,44,37
397,4.0,2109,11,23
398,0.0,2109,11,56
399,0.0,2209,23,72
400,3.0,2402,56,4
401,4.0,2402,6,37
402,4.0,1404,33,38
403,0.0,1202,73,66
404,0.0,3008,96,23
405,4.0,3000,24,73
406,0.0,2405,81,32
407,0.0,2404,37,44
408,4.0,1602,50,8
409,0.0,1602,51,47
410,0.0,2408,7,31
411,0.0,3001,61,24
412,3.0,1407,40,45
413,4.0,1407,90,10
414,1.0,1409,42,4
415,1.0,3001,10,12
416,4.0,1204,45,58
417,3.0,1408,2,79
418,3.0,3003,9,47
419,0.0,1200,57,43
420,0.0,1200,57,77
421,1.0,1408,28,63
422,0.0,3005,62,2
423,4.0,6001,34,32
424,4.0,3004,70,33
425,0.0,1601,68,24
426,0.0,3006,75,7
427,1.0,1407,70,67
428,3.0,6000,15,52
429,0.0,3003,81,7
430,0.0,3002,17,28
431,4.0,1409,43,38
432,0.0,6001,42,69
433,0.0,1404,94,5
434,0.0,1400,14,38
435,4.0,6000,5,54
436,4.0,3005,98,20
437,3.0,3005,98,52
438,0.0,3003,85,73
439,0.0,1408,10,17
440,0.0,1604,7,47
441,4.0,3008,84,73
442,1.0,3005,28,77
443,4.0,6001,97,68
444,4.0,2407,97,35
445,0.0,1405,91,43
446,4.0,3003,25,8
447,0.0,1201,26,1
448,0.0,1201,26,44
449,3.0,3002,28,40
450,4.0,1603,23,6
451,0.0,3000,50,62
452,0.0,3005,78,26
453,0.0,6001,18,39
454,4.0,1407,93,24
455,0.0,3001,82,45
456,0.0,3000,7,69
457,4.0,3007,4,79
458,0.0,3009,31,15
459,0.0,1200,11,60
460,0.0,6000,77,9
461,3.0,3009,1,51
